id;so_quyet_dinh;ngay_quyet_dinh;so_hop_dong;ngay_hop_dong;ghi_chu;noi_dung;ngay_bd;ngay_kt;ngay_tao;so_benh_nhan_kham;so_benh_nhan_ky_thuat;so_can_bo_chuyen_giao
1;intermediate Table quantify;2019-12-22T09:19:36;Producer infrastructures;2019-12-22T19:45:44;quantify;JSON Texas;2019-12-22T22:57:52;2019-12-22T18:23:41;2019-12-22T12:22:28;75087;73990;75454
2;Fantastic;2019-12-22T07:01:46;Berkshire navigating;2019-12-22T21:00:34;Direct;Small Frozen Salad bypassing;2019-12-22T20:10:23;2019-12-22T21:01:38;2019-12-22T05:43:39;95006;67676;95060
3;Missouri deposit;2019-12-22T17:55:41;methodical;2019-12-22T20:48:10;Danish Krone parse;neural Wooden Optimization;2019-12-22T05:18:32;2019-12-23T03:18:33;2019-12-22T04:47:19;54952;5587;44153
4;EXE cross-media Frozen;2019-12-23T01:15:32;program Auto Loan Account Refined;2019-12-23T02:40:19;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;2019-12-22T14:44:22;2019-12-22T19:42:29;2019-12-22T07:58:32;37064;88035;81279
5;Interactions;2019-12-22T05:01:37;navigate repurpose;2019-12-23T02:41:12;navigate Oklahoma;Triple-buffered array;2019-12-22T18:15:50;2019-12-22T16:52:04;2019-12-22T22:36:08;1135;40520;46866
6;Handmade Wooden Cheese Fresh;2019-12-22T13:06:35;synthesize Idaho Markets;2019-12-22T19:41:38;asymmetric EXE;web services;2019-12-22T09:26:25;2019-12-23T04:23:56;2019-12-22T05:13:16;96987;55600;4315
7;Lead;2019-12-22T16:01:33;Agent Gorgeous Rubber Chicken Associate;2019-12-22T16:08:11;Savings Account;heuristic Orchestrator Naira;2019-12-22T19:28:11;2019-12-22T07:03:47;2019-12-22T11:00:01;4544;91525;28096
8;Brand Regional Court;2019-12-22T13:48:27;client-driven olive;2019-12-22T17:33:43;one-to-one Indiana;holistic;2019-12-22T22:27:07;2019-12-22T05:01:18;2019-12-22T17:48:47;69816;3231;53609
9;groupware;2019-12-22T09:09:35;Pound Sterling Keyboard;2019-12-22T06:49:43;parsing;models New Mexico District;2019-12-23T02:42:17;2019-12-22T06:18:19;2019-12-22T07:39:03;86606;55158;4521
10;Grocery;2019-12-22T19:39:20;online Strategist Shirt;2019-12-22T14:25:54;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;2019-12-23T02:52:55;2019-12-22T07:56:15;2019-12-22T12:05:23;81290;53434;99971
