id;ma_ket_qua;ten_ket_qua;thu_tu_sap_xep;csytid
1;capacitor Path;Grocery;91274;14085
2;Towels;Table Automotive;31147;36239
3;Indiana deposit Electronics;Bedfordshire Strategist;45898;14866
4;applications Awesome;Hat matrices application;39731;74996
5;indigo National;Expressway;62497;3654
6;Street New Jersey;reciprocal;71405;45328
7;Malaysia supply-chains;Borders hack;10298;18192
8;SDD Mobility;didactic Dynamic;52657;40873
9;Industrial Pizza bus;web-readiness Cyprus;25388;23107
10;Moldovan Leu;Checking Account;33927;79991
