id;ma_noi_den;ten_noi_den;thu_tu_sap_xep;csytid
1;Fantastic Plastic Table Rubber;Yemen;20173;32235
2;primary Customer-focused UAE Dirham;Rubber Mall Investment Account;79428;34886
3;Configuration;parse infrastructures Mobility;99092;93834
4;Shirt;Mobility;72159;57447
5;synthesizing;synthesizing;75050;20162
6;Bacon Mouse open-source;payment National;31619;87720
7;whiteboard indexing;interface Central;62410;30137
8;index Borders;customized;39148;38389
9;Bahrain Future;Bouvet Island (Bouvetoya) experiences;33281;62770
10;cross-media Wooden optical;Borders reboot;57315;78859
