id;ma_ly_do;ten_ly_do;thu_tu_sap_xep;csytid
1;even-keeled Chair;Brazil;53442;46077
2;cyan innovative;open architecture alliance;9229;79941
3;Credit Card Account Sleek;Sausages streamline Home;86830;80620
4;quantify;Manager;53659;37047
5;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;13311;71334
6;Internal Buckinghamshire Antarctica (the territory;ADP;35414;53261
7;Configurable optimal;Chair Kentucky;84070;21144
8;internet solution;Total;34292;59359
9;Indian Rupee bluetooth;Club Nebraska;73682;58684
10;quantify architectures;empower;33744;36308
