id;ma_noi_den;ten_noi_den;thu_tu_sap_xep;csytid
1;Ergonomic Falls;User-friendly;27473;60617
2;Synergized;calculate Fantastic Concrete Computer Baby;49816;52030
3;transmit Gabon;connecting Planner Refined;79181;40348
4;Granite Grocery;bluetooth payment digital;90315;13637
5;Industrial seamless;withdrawal Jamaica;9100;90415
6;real-time Berkshire solid state;middleware Switzerland;69764;94952
7;Granite Configuration Buckinghamshire;Practical Steel Chips;62080;49261
8;concept payment;robust;53726;12887
9;Rubber Shirt;Pakistan Rupee;18006;18188
10;best-of-breed Human Mission;Officer Savings Account Automated;82179;16893
