id;ma_vat_tu;ten_vat_tu;thu_tu_sap_xep;csytid
1;Oklahoma;Cambridgeshire navigate Licensed;53648;11063
2;indexing Rubber;Buckinghamshire Cameroon;48635;22925
3;application driver;Credit Card Account Nevada;71617;25179
4;transparent Chips;front-end Intuitive vortals;28792;94728
5;Salad Connecticut;Generic Advanced;72609;87212
6;Security Virginia;solid state Clothing deposit;77124;57628
7;Checking Account markets;Unbranded programming District;12281;11323
8;Officer;yellow programming strategy;31144;51883
9;New Mexico;streamline navigate;20557;80285
10;Kids leading-edge synergize;JSON National;46570;34695
