id;ma;ten;ngaytao;csytid;sudung;thutu
1;mobile Fish;Home Loan Account Table Computer;2019-12-23T05:57:04;5;2;33370
2;Metal deposit;Producer;2019-12-22T11:22:00;10;1;77
3;Officer;methodology Albania;2019-12-22T20:58:43;1;1;52477
4;enable Gorgeous Frozen Pants;Common;2019-12-22T12:30:04;7;1;38246
5;Planner Canyon;Credit Card Account Table Small Frozen Sausages;2019-12-22T08:10:13;6;2;38541
6;Music;Nakfa;2019-12-22T20:46:54;7;1;60999
7;backing up Salad;Digitized invoice;2019-12-22T23:51:51;5;2;20794
8;Georgia Industrial;connect Markets Chief;2019-12-22T16:59:45;8;2;32654
9;Georgia;Tasty Plastic Pizza scale;2019-12-23T00:49:58;6;2;58675
10;Specialist Home Loan Account;Plastic;2019-12-22T12:05:34;2;1;1563
