id;ma_detai;ten_detai;muctieu;ngay_bd_du_kien;ngay_kt_du_kien;kinh_phi_du_kien;noi_dung_tong_quan;kinh_phi_hoan_thanh;tong_diem
1;deliverables reinvent 24 hour;overriding;monitor 1080p Checking Account;2019-12-22T09:06:51;2019-12-22T22:44:32;65107;Internal;85003;62329
2;archive Fantastic Plastic Chic;payment;withdrawal COM;2019-12-22T20:00:44;2019-12-22T22:09:18;11959;bus synthesize Idaho;77096;25606
3;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;2019-12-22T14:39:11;2019-12-22T09:33:50;13933;Investment Account;53984;75555
4;User-centric;Money Market Account;Salad Web virtual;2019-12-22T16:08:37;2019-12-23T04:48:48;87146;digital maroon;89255;88328
5;projection Fresh;support Gorgeous;withdrawal;2019-12-23T07:19:58;2019-12-22T11:42:47;35256;ability Hat Iraq;48482;22210
6;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;2019-12-22T08:01:22;2019-12-23T01:15:05;96244;Quality-focused;49724;71227
7;Plastic;Computers Personal Loan Account Berkshire;Home;2019-12-22T23:03:49;2019-12-22T09:32:49;63435;Canadian Dollar;53093;48945
8;Designer Persistent;Handmade 24/7 Re-contextualized;web-enabled invoice withdrawal;2019-12-22T18:29:12;2019-12-22T11:45:04;9028;hacking installation magenta;4077;85835
9;neural-net red;Buckinghamshire Future-proofed deposit;Quality;2019-12-22T21:48:13;2019-12-22T22:03:49;51775;hacking Forint bandwidth;20907;92469
10;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;2019-12-23T05:06:39;2019-12-22T08:10:31;89721;Human deposit;33902;27887
