id;mo_ta;noi_dung;noi_dung_content_type;nguoi_cn;ngay_cn
1;Re-contextualized;../fake-data/blob/hipster.png;image/png;49919;2019-12-23T00:36:24
2;Shoes deposit;../fake-data/blob/hipster.png;image/png;17711;2019-12-22T07:28:35
3;Villages uniform PCI;../fake-data/blob/hipster.png;image/png;74771;2019-12-23T06:58:27
4;Tactics architectures Planner;../fake-data/blob/hipster.png;image/png;96361;2019-12-22T07:49:03
5;Incredible functionalities fuchsia;../fake-data/blob/hipster.png;image/png;26847;2019-12-22T23:44:21
6;Pants Maryland;../fake-data/blob/hipster.png;image/png;93615;2019-12-22T11:05:04
7;Intranet Ergonomic Concrete Soap Zambian Kwacha;../fake-data/blob/hipster.png;image/png;35864;2019-12-23T03:59:00
8;Bedfordshire;../fake-data/blob/hipster.png;image/png;87737;2019-12-22T23:36:15
9;calculating Metal array;../fake-data/blob/hipster.png;image/png;55281;2019-12-23T00:17:57
10;redundant;../fake-data/blob/hipster.png;image/png;81011;2019-12-23T01:11:47
