id;han;ngaycap;ngayhethan;urlchungchi;sudung
1;91514;2020-03-01;2020-03-01;Fantastic Frozen Cheese United Kingdom infomediaries;80900
2;9725;2020-03-01;2020-03-01;Secured;5429
3;41709;2020-03-01;2020-03-01;composite withdrawal Unbranded Cotton Salad;21553
4;85484;2020-03-01;2020-03-01;Berkshire Tactics;87969
5;53967;2020-03-02;2020-03-01;invoice initiatives;36450
6;90197;2020-03-01;2020-03-01;SCSI;71048
7;93484;2020-03-01;2020-03-01;open system Fantastic open-source;48388
8;78521;2020-03-01;2020-03-01;Myanmar Upgradable SCSI;49774
9;80693;2020-03-02;2020-03-02;payment;29373
10;29383;2020-03-01;2020-03-02;Movies Awesome Forint;83147
