id;ma;ngaytao;sudung;ten;thutu
1;implement backing up;2020-03-01;34335;neural;28481
2;niches scale;2020-03-01;83759;Auto Loan Account monitor;61067
3;Nevada sexy;2020-03-01;12069;panel Product;62508
4;Money Market Account;2020-03-01;26293;Virginia interfaces Handcrafted Plastic Chair;19022
5;Direct;2020-03-01;37390;Ball;41813
6;Intranet Central Unions;2020-03-01;70;Data Credit Card Account Assimilated;34460
7;Investor Centralized end-to-end;2020-03-01;8527;Assistant Unbranded Frozen Salad;46705
8;Savings Account Applications;2020-03-01;58386;Tennessee markets;27242
9;Object-based Cambridgeshire Berkshire;2020-03-01;16430;haptic Web Pre-emptive;81389
10;Bedfordshire synthesize Functionality;2020-03-02;53785;Home Loan Account;37793
