id;sott;tendetai;ngaytao;ngaypheduyet;ngaybd;ngaykt;hientrang;xuatban;capquanly;ngaynghiemthu;kinhphithuchien;nguonkinhphi;muctieu;kinhphi_dukien;chunhiemdetai;noidungtongquan;kinhphi_hoanthanh;tongdiem;ghichu;nguoi_cn;ngay_cn
1;61096;Intelligent Cotton Cheese;2020-03-01;2020-03-01;2020-03-01;2020-03-01;30013;48462;13759;2020-03-01;14825;initiatives Syrian Arab Republic global;task-force Money Market Account bluetooth;23817;49689;dot-com;64804;3048;Pennsylvania;52966;2020-03-01
2;58752;IB Drive;2020-03-01;2020-03-01;2020-03-01;2020-03-01;10476;10968;93832;2020-03-01;32137;Officer;synthesizing virtual New Taiwan Dollar;57104;89894;back-end intangible Ethiopian Birr;638;67657;vertical orchestration;31307;2020-03-01
3;71961;Managed violet;2020-03-01;2020-03-01;2020-03-01;2020-03-01;46637;89659;9949;2020-03-01;30250;Infrastructure Fantastic Movies;e-enable Sleek Plastic Pants;79343;78797;Graphic Interface tan;2692;3301;withdrawal Yemeni Rial;76067;2020-03-02
4;15247;platforms;2020-03-01;2020-03-01;2020-03-01;2020-03-01;92642;38545;30230;2020-03-01;56028;invoice;Analyst;67820;57335;Road Congolese Franc;42254;31609;Borders;41228;2020-03-02
5;2406;orchid Open-source proactive;2020-03-01;2020-03-02;2020-03-01;2020-03-01;57286;36148;15629;2020-03-01;31844;Shoes Human;Intelligent bus;81956;47574;Quality;70005;31744;Incredible hack interface;72708;2020-03-01
6;88540;Persevering Incredible Soft Mouse syndicate;2020-03-01;2020-03-01;2020-03-01;2020-03-01;8579;9762;78642;2020-03-01;56654;capacity El Salvador Colon US Dollar China;Car Kip transmitting;49538;11933;Run;45334;74059;silver Configuration;80338;2020-03-01
7;84506;grey Brunei Dollar Soap;2020-03-01;2020-03-01;2020-03-01;2020-03-01;72795;23137;32025;2020-03-01;11684;mobile backing up fuchsia;Awesome;56759;40269;synthesize;58903;70624;Salad wireless;33161;2020-03-01
8;34360;Square enhance Sports;2020-03-02;2020-03-01;2020-03-01;2020-03-01;82524;13945;12419;2020-03-01;20359;Refined Metal Pizza Somalia;circuit;66416;55903;solid state Assistant;22280;6191;Soft;81712;2020-03-01
9;71684;bandwidth Analyst;2020-03-01;2020-03-01;2020-03-01;2020-03-01;59124;64580;87188;2020-03-01;31776;lavender Producer;drive;11926;22949;Niue withdrawal;25358;88128;EXE Handmade;61564;2020-03-01
10;15046;utilize tan;2020-03-02;2020-03-01;2020-03-01;2020-03-01;65931;6344;349;2020-03-01;42798;bottom-line;withdrawal;5356;10051;leading-edge integrate;20803;83391;Borders invoice;84515;2020-03-01
