id;machungchi;tenchungchi;mota;trangthai;sudung
1;Rubber capacitor;deposit Practical Cotton Shoes;Legacy Handmade purple;42687;56007
2;robust deposit monitoring;portals;web-enabled invoice;67744;93112
3;Open-architected Buckinghamshire Money Market Account;neutral;Technician;64166;17473
4;reciprocal Table;brand Future PCI;Personal Loan Account;9329;78670
5;Minnesota Soap withdrawal;Program indexing scale;global;26658;36933
6;Future;Computer;Cliff;14570;60297
7;Delaware Technician;Convertible Marks index Bacon;mint green;53625;65603
8;Tasty Corporate;Savings Account port;deposit Rhode Island;46778;69489
9;Rustic Soft Gloves driver;Public-key;olive Music Phased;36066;2841
10;Personal Loan Account parsing;Lead Intelligent;Multi-lateral;60298;56126
