id;ten;ngaysinh;mabenhvien;sudung
1;Investment Account Team-oriented;2020-03-01;Technician;26181
2;repurpose Soap;2020-03-01;Health Kentucky;70977
3;pricing structure;2020-03-01;Shoes Direct Upgradable;38366
4;panel AI card;2020-03-01;Barbados global;29529
5;calculate Generic invoice;2020-03-01;Refined Plastic Pants Director Automotive;80853
6;Berkshire deposit Frozen;2020-03-01;world-class Shoes;6511
7;Pants;2020-03-01;microchip;61217
8;contextually-based Checking Account;2020-03-01;Product;45022
9;e-business;2020-03-01;Money Market Account PCI;96843
10;Plastic Branding Money Market Account;2020-03-01;ivory copy Metal;93830
