id;madaotao;tendaotao;ngay_bd;ngay_kt;diachi;doituongchitiet;noidungdaotao;thoigiandaotao;sudung
1;Program;application cultivate open system;2020-03-01;2020-03-01;cross-platform;Direct Senior capability;transmitting auxiliary;96599;99302
2;Grocery Programmable;Cambridgeshire;2020-03-01;2020-03-01;leverage;Internal Handcrafted Plastic Gloves;magnetic functionalities 5th generation;75302;11652
3;ADP;generating driver Sharable;2020-03-01;2020-03-01;well-modulated Tasty Frozen Chips Ohio;Delaware Shirt;Heights Computers;21830;93320
4;productize;Paradigm District reboot;2020-03-01;2020-03-01;Garden Open-source Planner;technologies circuit;Congolese Franc Borders;50988;61407
5;Tuna;Unbranded Cotton Hat;2020-03-01;2020-03-02;Nepal Central;deposit;Interactions;26101;78132
6;quantify frictionless;Auto Loan Account;2020-03-01;2020-03-01;streamline;Granite e-tailers;invoice;89190;10466
7;yellow Business-focused;hack compressing deposit;2020-03-01;2020-03-01;Practical Metal Hat Engineer;Oregon;Soft Legacy drive;66989;29514
8;Home Loan Account salmon;Berkshire Terrace tangible;2020-03-01;2020-03-01;Auto Loan Account Armenian Dram transmit;Peso Uruguayo Uruguay Peso en Unidades Indexadas AI copy;index Computers supply-chains;46776;36324
9;Baby Grocery discrete;quantifying matrix sexy;2020-03-01;2020-03-01;disintermediate;Avon Pizza;Kenyan Shilling deposit;84768;89474
10;California neural disintermediate;Director digital;2020-03-02;2020-03-02;relationships;Czech Koruna Savings Account;Self-enabling;2832;96137
