id;madaotaochitiet;tendaotaochitiet;ngay_bd;ngay_kt;thoigiandaotaoct;noidungdaotaoct;trangthaidaotaoct;sudung
1;Movies;invoice;2020-03-01;2020-03-01;22044;leading-edge;48449;27957
2;Martinique;system-worthy primary;2020-03-01;2020-03-02;65811;salmon Soft;52469;73403
3;Square fresh-thinking;metrics open-source Incredible;2020-03-01;2020-03-01;18531;alarm;95140;66773
4;Agent Frozen;New Israeli Sheqel California;2020-03-01;2020-03-01;87654;encoding Fundamental;88545;35308
5;SMTP;open-source;2020-03-01;2020-03-02;43267;Computer;95281;3935
6;Concrete;Montana;2020-03-01;2020-03-01;8590;holistic action-items;99760;77295
7;convergence Generic;Hat Metal Plastic;2020-03-01;2020-03-01;58431;Future Upgradable microchip;73677;39513
8;Path Enhanced Home Loan Account;Producer black programming;2020-03-01;2020-03-02;96234;actuating;34790;99136
9;Corner;copying Brazilian Real Creative;2020-03-01;2020-03-01;65452;Sharable;64510;97950
10;Tools Canadian Dollar invoice;quantifying asymmetric implement;2020-03-01;2020-03-01;81278;copy plug-and-play;44527;75318
