id;solop;sohocvien;dathanhtoan;madutoan;tendutoan;trangthai;ngay_bd;ngay_kt;sudung
1;44545;87439;8944;17768;supply-chains web-enabled Advanced;38726;2020-03-01;2020-03-01;34834
2;66406;78485;72483;12967;Gorgeous Wooden Table PNG New Zealand;61515;2020-03-01;2020-03-01;58623
3;9879;80299;93212;84770;throughput backing up;99663;2020-03-01;2020-03-01;73332
4;90386;11075;42305;2806;XSS cross-platform transmitting;27831;2020-03-01;2020-03-01;32429
5;88500;16276;55395;70563;scalable transitional;15651;2020-03-01;2020-03-01;43409
6;64741;69474;56101;877;Green;63087;2020-03-01;2020-03-01;91487
7;73843;76866;68510;91631;Concrete Savings Account Australia;99553;2020-03-02;2020-03-02;39567
8;88308;44790;41106;70815;Republic of Korea experiences;44082;2020-03-02;2020-03-01;91858
9;77490;32541;5490;91488;Cape;18777;2020-03-01;2020-03-01;19106
10;13256;45355;77375;49693;Tugrik Delaware;49037;2020-03-01;2020-03-02;89901
