id;soluong;mucchi;thanhtien;noidung;trangthaict;dathanhtoan;sudung
1;62555;36655;55354;Borders;94643;37863;5223
2;24920;20394;92318;orange visionary;14792;38965;56575
3;29235;31478;94411;Personal Loan Account;81213;26972;27285
4;38926;2813;83872;Algerian Dinar Health JSON;64609;35382;76199
5;76456;44729;90642;Plastic bypassing;34702;60064;14910
6;95017;68224;3810;Gorgeous Wooden Bacon;95978;24307;3345
7;43081;15710;88513;impactful input;31210;26539;10333
8;50814;93269;69189;orchestrate;64013;44541;31783
9;9163;8425;68618;index;12030;93597;49130
10;10228;53284;30467;Branding Administrator auxiliary;68794;76770;82643
