id;tien_dukien;tien_hoanthanh;ghichu;ngay_cn;nguoi_cn
1;50311;28793;feed RSS SQL;2020-03-01;74511
2;55624;53997;Implementation Peru infrastructure;2020-03-01;30402
3;34950;37144;invoice bypass;2020-03-01;4430
4;67669;58997;Pakistan Rupee salmon complexity;2020-03-01;52180
5;78932;50976;optical synthesizing green;2020-03-01;18340
6;6642;34126;Identity;2020-03-01;47722
7;5630;69376;yellow;2020-03-01;4332
8;1139;37282;Markets;2020-03-01;87211
9;18794;92474;Agent primary primary;2020-03-01;57776
10;53974;809;transition well-modulated;2020-03-01;11714
