id;diemdanh;diem;danhgia;sudung;trangthaithanhtoan;ngaythanhtoan;mathanhtoan
1;83804;13356;Associate;95534;9140;2020-03-01;Camp Engineer Intelligent
2;28169;24331;Principal input;10125;30059;2020-03-01;hack Run
3;15867;16147;International;14200;83315;2020-03-01;e-markets
4;83906;98121;Berkshire plug-and-play salmon;73007;35766;2020-03-01;Falkland Islands (Malvinas)
5;89620;83078;e-commerce Consultant;51462;19176;2020-03-01;synthesize
6;59589;19340;Licensed Wooden Ball 5th generation;59921;73748;2020-03-02;Frozen
7;31408;20615;Licensed;7397;69781;2020-03-02;Keys interface Re-contextualized
8;72592;74453;West Virginia Health;61047;64338;2020-03-01;Center card
9;37173;30703;Incredible Plastic Car copying;33217;49626;2020-03-01;Awesome Direct
10;51157;4621;Extended navigate Berkshire;91427;43066;2020-03-01;Garden PNG overriding
