id;tyle_hoanthanh;mota;ngay_cn;nguoi_cn
1;92400;Tactics Practical Wooden Fish Administrator;2020-03-01;71368
2;84330;data-warehouse;2020-03-02;37900
3;79420;markets Texas;2020-03-01;77743
4;33197;Home;2020-03-01;94523
5;24173;mobile Yuan Renminbi;2020-03-01;89955
6;54412;Agent Generic frictionless;2020-03-01;88141
7;81120;Personal Loan Account Direct optical;2020-03-01;83058
8;21176;dynamic;2020-03-01;40373
9;32206;functionalities open-source;2020-03-01;5758
10;78167;e-tailers protocol;2020-03-01;80417
