id;mota;noidung;noidung_content_type;ngay_cn;nguoi_cn
1;methodologies;../fake-data/blob/hipster.png;image/png;2020-03-01;34400
2;Bulgarian Lev Borders challenge;../fake-data/blob/hipster.png;image/png;2020-03-01;16812
3;connect Cross-group Tennessee;../fake-data/blob/hipster.png;image/png;2020-03-01;44987
4;indigo;../fake-data/blob/hipster.png;image/png;2020-03-01;86506
5;recontextualize;../fake-data/blob/hipster.png;image/png;2020-03-01;73141
6;Rubber virtual revolutionize;../fake-data/blob/hipster.png;image/png;2020-03-01;79303
7;Turks and Caicos Islands Communications;../fake-data/blob/hipster.png;image/png;2020-03-01;11850
8;Dynamic FTP Group;../fake-data/blob/hipster.png;image/png;2020-03-01;43143
9;Iraq productivity;../fake-data/blob/hipster.png;image/png;2020-03-01;97981
10;Practical Re-engineered web-enabled;../fake-data/blob/hipster.png;image/png;2020-03-01;61722
